Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-5-demoqa-1,Chrome 127.0.0.0,,,01-08-2024 17:58:13,01-08-2024 17:59:38,1m - 24.915s,PASSED
,,,,,,,
Test Cases/TC-18-demoqa-book,Chrome 127.0.0.0,,,01-08-2024 17:58:45,01-08-2024 17:59:02,16.674s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,01-08-2024 17:58:45,01-08-2024 17:58:47,1.305s,PASSED
"navigateToUrl(""https://demoqa.com/books"")",Chrome 127.0.0.0,,,01-08-2024 17:58:47,01-08-2024 17:59:00,12.823s,PASSED
"setText(findTestObject(""Object Repository/TC-18/Page_DEMOQA/input_Book Store API_searchBox""), ""git"")",Chrome 127.0.0.0,,,01-08-2024 17:59:00,01-08-2024 17:59:01,1.689s,PASSED
"verifyElementText(findTestObject(""TC-18/Page_DEMOQA/a_Git Pocket Guide""), ""Git Pocket Guide"")",Chrome 127.0.0.0,,,01-08-2024 17:59:01,01-08-2024 17:59:02,0.541s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,01-08-2024 17:59:02,01-08-2024 17:59:02,0.292s,PASSED
,,,,,,,
Test Cases/TC-17-demoqa-book-login,Chrome 127.0.0.0,,,01-08-2024 17:59:02,01-08-2024 17:59:38,35.778s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,01-08-2024 17:59:02,01-08-2024 17:59:03,1.190s,PASSED
"navigateToUrl(""https://demoqa.com/login"")",Chrome 127.0.0.0,,,01-08-2024 17:59:03,01-08-2024 17:59:14,10.969s,PASSED
"setText(findTestObject(""Object Repository/TC-17/Page_DEMOQA/input_UserName_userName""), ""dms"")",Chrome 127.0.0.0,,,01-08-2024 17:59:14,01-08-2024 17:59:16,1.492s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC-17/Page_DEMOQA/input_Password_password""), ""sHmjQe3zD30="")",Chrome 127.0.0.0,,,01-08-2024 17:59:16,01-08-2024 17:59:16,0.410s,PASSED
"click(findTestObject(""Object Repository/TC-17/Page_DEMOQA/button_Login""))",Chrome 127.0.0.0,,,01-08-2024 17:59:16,01-08-2024 17:59:35,19.126s,PASSED
"verifyElementText(findTestObject(""TC-17/Page_DEMOQA/p_Invalid username or password""), ""Invalid username or password!"")",Chrome 127.0.0.0,,,01-08-2024 17:59:35,01-08-2024 17:59:37,1.250s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,01-08-2024 17:59:37,01-08-2024 17:59:38,1.241s,PASSED
