Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-10-globalsqa-2,Chrome 127.0.0.0,,,02-08-2024 14:16:58,02-08-2024 14:17:04,6.396s,PASSED
,,,,,,,
Test Cases/TC-26-globalsqa-calc,Chrome 127.0.0.0,,"calculator,addition",02-08-2024 14:16:58,02-08-2024 14:17:04,6.138s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 14:16:58,02-08-2024 14:17:01,2.159s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/SimpleCalculator/"")",Chrome 127.0.0.0,,,02-08-2024 14:17:01,02-08-2024 14:17:02,1.311s,PASSED
"click(findTestObject(""Object Repository/TC-26/Page_/input_a_ng-pristine ng-valid""))",Chrome 127.0.0.0,,,02-08-2024 14:17:02,02-08-2024 14:17:02,0.530s,PASSED
"setText(findTestObject(""Object Repository/TC-26/Page_/input_a_ng-valid ng-dirty""), ""8"")",Chrome 127.0.0.0,,,02-08-2024 14:17:02,02-08-2024 14:17:03,0.679s,PASSED
"setText(findTestObject(""Object Repository/TC-26/Page_/input_b_ng-valid ng-dirty""), ""2"")",Chrome 127.0.0.0,,,02-08-2024 14:17:03,02-08-2024 14:17:04,0.598s,PASSED
"verifyElementText(findTestObject(""TC-26/Page_/b_8  2  10""), ""8 + 2 = 10"")",Chrome 127.0.0.0,,,02-08-2024 14:17:04,02-08-2024 14:17:04,0.311s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,02-08-2024 14:17:04,02-08-2024 14:17:04,0.268s,PASSED
,,,,,,,
Test Cases/TC-27-globalsqa-consumption,Chrome 127.0.0.0,,,02-08-2024 14:17:04,02-08-2024 14:17:04,0.073s,PASSED
return null,Chrome 127.0.0.0,,,02-08-2024 14:17:04,02-08-2024 14:17:04,0.002s,PASSED
